productName,itemId,commissionRate,commission,price,sales,imageUrl,shopName,productLink,offerLink,ratingStar
Kit 3 Unidades Sabonete Líquido Chá Branco 500 ml,22792887317,0.15,5.985,39.9,9223,https://cf.shopee.com.br/file/sg-11134201-7rcdm-lsmmx91ngz5jbd,Coala Essências Oficial,https://shopee.com.br/product/1177903362/22792887317,https://s.shopee.com.br/1qQYixBCVD,4.9
Kit 16 Pçs/Set Profissional Aço inoxidável Para Manicure Pedicure,23493397958,0.11,2.09,19,5939,https://cf.shopee.com.br/file/br-11134207-7r98o-m0ommf0cmjbx79,Arara.store,https://shopee.com.br/product/1005980154/23493397958,https://s.shopee.com.br/gEbKoFds0,4.6
"kit Tapete para Banheiro de Secagem Rápida e Super Absorvente - Ideal para Chuveiro, Cozinha e Varanda",22097308942,0.08,1.0392,12.99,17285,https://cf.shopee.com.br/file/br-11134207-7r98o-lqnow85afhun2a,HH IMPORTADORA,https://shopee.com.br/product/1072624004/22097308942,https://s.shopee.com.br/qY1X7F0X3,4.4
Kit 2 Travesseiro Pluma de Ganso Descanso Antiacaro 70x50cm,19798930110,0.14,4.6886,33.49,15696,https://cf.shopee.com.br/file/sg-11134201-7rbki-ll9jwp6mt5ytad,Alice Confecções,https://shopee.com.br/product/301990718/19798930110,https://s.shopee.com.br/10rRjQENC6,4.8
Caixa Saco Organizador Cobertor Casaco Guarda Roupa Ecológico Anti-Poeira Umidade Insetos Multiuso,23592798319,0.09,1.4292,15.88,17049,https://cf.shopee.com.br/file/br-11134207-7r98o-lv97hnenxksvb5,Oncomercio Shop,https://shopee.com.br/product/518270617/23592798319,https://s.shopee.com.br/1BArvjDjr9,4.9
"Varão Extensivo Ajustável 0,45m à 1,50m Para Cortina Branco de Box Banheiro Suporte Extensor",21597475362,0.03,0.3297,10.99,4019,https://cf.shopee.com.br/file/br-11134207-7r98o-lynxvqpqd0ytb7,IMPERIAL SUPORTES,https://shopee.com.br/product/524520001/21597475362,https://s.shopee.com.br/yuXaIBDw,4.8
Caixa De Som Go 3 Bluetooth Portátil À Prova D 'Água Com Bateria Esportiva,23498013829,0.14,6.1306,43.79,8244,https://cf.shopee.com.br/file/sg-11134201-7repd-m28gs3389mz9ec,Inovar Top,https://shopee.com.br/product/944725778/23498013829,https://s.shopee.com.br/708esS4jOS,4.6
Kit Lençol Cama Casal Queen 400 fios Micropercal 03 Peças Ponto Palito,18499246242,0.13,2.509,19.3,14056,https://cf.shopee.com.br/file/br-11134207-7r98o-luunp358lk7o00,Enxovais.Store,https://shopee.com.br/product/289796446/18499246242,https://s.shopee.com.br/7AS54l463V,4.8
Sapateira 4 ou 5 Andares Multiuso Desmontável Organizadora Multiuso Sapatos Livros Brinquedos,21797631048,0.07,1.3986,19.98,9744,https://cf.shopee.com.br/file/br-11134207-7r98o-m275pnv5hbnq94,DonaLarana_Casa,https://shopee.com.br/product/771750144/21797631048,https://s.shopee.com.br/6fVoTq604Q,4.6
Lanterna Super Potente Tática Mais Forte Do Mundo Potente Sitio Fazenda Acampamento Camping Segurança,18699319983,0.07,1.3993,19.99,1985,https://cf.shopee.com.br/file/sg-11134201-7rd47-lwd7tbwo93v61c,LOJA 15 IMPORTADOS,https://shopee.com.br/product/915563136/18699319983,https://s.shopee.com.br/6ppEg95MjT,4.6
Quadro decorativo Arte de Parede Moderna Árvore da Fortuna – Decoração de Tela Sem Moldura com Árvo,22293829267,0.17,3.23,19,30,https://cf.shopee.com.br/file/br-11134207-7r98o-m79k17o1eisy6e,GALERIA ONLINE MFN,https://shopee.com.br/product/1383550892/22293829267,https://s.shopee.com.br/7fOLfg2C2e,4.4
Caneta Paint Original Reparadora Pintura Automotiva Permanente Não Sai Na Água Tira Riscos Carro Moto Retoque de Placa Tênis Pneus para Ferro Metal Madeira Plástico Gesso Vidro Couro Tecido Cores Preto Branco Prata (Cinza) Dourado Azul Vermelha,21399069053,0.1,2.185,21.85,7055,https://cf.shopee.com.br/file/br-11134207-7r98o-lsirz2r48wfv6e,VENDAS.VTO,https://shopee.com.br/product/603381147/21399069053,https://s.shopee.com.br/7phlrz1Yhh,4.6
Legging Flanelada Feminina Peluciada Quentinha Inverno,23592928586,0.1,2.799,27.99,17023,https://cf.shopee.com.br/file/br-11134207-7r98o-lthcaqt8y3vtea,AUGE MODAS CONFECÇÕES,https://shopee.com.br/product/1046016014/23592928586,https://s.shopee.com.br/7KlVH43Sic,4.7
Kit 7 Pecas Bolsa Organizadoras Para Mala Roupas Bagagem Viagem,22719293954,0.08,2.1272,26.59,6506,https://cf.shopee.com.br/file/br-11134207-7r98o-lungd923nxqs3c,RAJORK SHOP_BRASIL,https://shopee.com.br/product/800287152/22719293954,https://s.shopee.com.br/7V4vTN2pNf,4.9
